City,Place,Ratings,Distance,Place_desc
Manali,30. Trek to the Beas Kund,4.4,17 km  from city center,"The Beas Kund trek is a perfect weekend getaway trek with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking."
Manali,31. Trek the Hampta Pass,3.5,1 km  from city center,"Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape."
Manali,33. Explore the Wildlife at Manali Sanctuary,3.9,1 km  from city center,"Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard."
Manali,35. Click Pictures at Nehru Kund,3.4,8 km  from city center,"Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around."
Manali,36. Chandrakhani Pass and the Parvati Valley,3.4,19 km  from city center,"Located at an altitude of 3660 m in the Kullu Valley, Chandrakhani Pass offers the tourists a fabulous view of Deo Tibba Peak, Pir Panjal and Parbati range of mountains. The expedition to this region introduces you to various hilly cultures of Himachal Pradesh that are extremely popular. In order to reach the serene pass, you have to pass through Malana."
Manali,37. Bara Bhangal Kalihani Trek,3.5,37 km  from city center,"Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range."
Manali,39. Deo Tibba Base Camp Trek,3.5,19 km  from city center,"Cradled in the lap of Himalayan Mountains in Himachal Pradesh, Deo Tibba trek is steeped with the richness of the nature and stunning landscapes. It is a spectacular trail passing through series of grazing pastures of Gaddi shepherds."
Manali,40. Gayatri temple,3.4,5 km  from city center,"Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork."
Manali,44. Trek to the Chandratal Baralacha lake,3.5,48 km  from city center,"Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Plateau of Spiti Valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make Chandratal Baralacha Trek an unforgotten experience to cherish forever."
Manali,50. Bhunter,3.4,40 km  from city center,"What is generally overlooked as a town of utility only, with an airport and the last ATM before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular Himachal hill stations and their tourist rush."
Leh Ladakh,1. Pangong Lake,4.4,156 km  from city center,"The most popular tourist attraction in Ladakh, Pangong lake is an endorheic (landlocked) lake situated at 4350 meters. Also known as Pangong Tso it is 12 kilometres long and extends from India to Tibet. Almost 60% of Pangong Lake lies in the Tibetan Autonomous Region. A unique feature of the lake is that it does not remain blue throughout the year or even the day, rather it changes colours from azure to light blue to green and grey too! It is famous amongst tourists as Ladakh lake, the spot where the Bollywood movie ""3 Idiots"" was shot."
Leh Ladakh,2. Khardung La Pass,4.3,20 km  from city center,"Khardung La, also known as Khardzong La, is one of the highest motorable roads in India at an elevation of 5602 metres. It serves as the gateway to Shyok and Nubra Valley. An inner line permit is required to visit. It remains closed from October to May."
Leh Ladakh,3. Nubra Valley,3.6,71 km  from city center,"Nubra Valley lies in the union territory of Jammu & Kashmir, at a distance of around 140 Km from Leh. With arid mountains in the backdrop, it is famous for the Bactrian camel rides, orchards and monasteries. Surrounded by snow-dusted Himalayan mountains, it can be reached via Khardung La."
Leh Ladakh,4. Sangam,4.4,23 km  from city center,"Sangam is the confluence of Indus and Zanskar Rivers in Ladakh. The two rivers can be separately seen meeting at this point. While the Indus River appears as shiny blue, Zanskar River appears muddy green."
Leh Ladakh,5. Shanti Stupa,4.3,2 km  from city center,"The Shanti Stupa is a white-domed Buddhist monument. It is a religious place for Buddhists as it holds the relics of Buddha, consecrated by the 14th Dalai Lama. It looks exceptionally beautiful during the full moon night."
Leh Ladakh,6. Tso Moriri Lake,4.3,155 km  from city center,"Tso Moriri is the largest high altitude lakes in India, at an altitude of 4,595m. It is a twin to Pangong Lake. It is accessible only during the summer months and an inner line permit is required for visiting."
Leh Ladakh,7. Magnetic Hill,4.3,21 km  from city center,The popular Magnetic Hill of Ladakh is a cyclops hill where vehicles seem to move upwards on the hill instead of rolling downwards. It is located 30km from Leh towards Kargil.
Leh Ladakh,8. Hall Of Fame Museum,3.3,4 km  from city center,"Located at approximately 4 km from the main city, this glorified museum was built in memory of the brave soldiers who lost their lives fighting for India at the Indo-Pakistan war."
Leh Ladakh,10. Zanskar Valley,4.0,100 km  from city center,Located in the Kargil district to the east of Ladakh (around 105 km) lies the bewitching Zanskar Valley. The semi-desert region is flanked by snow-capped mountains and sparkling clean rivers along with distinct flora and fauna. The easiest way of reaching Zanskar is from Kargil through Suru Valley.
Leh Ladakh,12. Stok Palace,3.6,9 km  from city center,"Located around 15km from Leh, the Stok Palace is the summer home to the royal family of Ladakh and descendants of King Sengge Namgyal. It was established in 1820 by King Tsepal Namgyal and was opened to the public in 1980 by the Dalai Lama. The Stok Palace has been converted into a heritage hotel and houses the Stok Palace Museum and Temple."
Leh Ladakh,13. Hemis Monastery,3.5,29 km  from city center,"Hemis is a Buddhist monastery ranked as one of the wealthiest monasteries in India. It is most visited during the annual Hemis Festival, held every year in early June. The monastery is well-connected with motorable roads."
Leh Ladakh,14. White water rafting,4.2,23 km  from city center,"Rafting expedition is done on Zanskar River, called the Grand Canyon of India, with high cliff like gorges at certain places. The Zanskar Rafting expedition is one of The best river trips in The world."
Leh Ladakh,15. Pathar Sahib Gurudwara,4.1,22 km  from city center,"Gurudwara Pathar Sahib is a beautiful gurudwara, dedicated to Guru Nanak Dev. It is highly revered as it houses a rock which resembles Guru Nanak's back. It is built at the site where he is believed to have vanquished a demon."
Leh Ladakh,16. Kargil,3.3,140 km  from city center,"Kargil lies near the Line of Control facing Pakistan-administered Kashmir's Baltistan to the west, and Kashmir valley to the south. Zanskar is part of Kargil district along with Suru, Wakha and Dras valleys. Kargil was at the center of a conflict between India and Pakistan in 1999."
Leh Ladakh,17. Likir Monastery,3.6,37 km  from city center,"The Likir Monastery is the oldest monastery in Ladakh, located around 52 km from Leh in the scenic Likir village. Belonging to the Gelugpa sect of Tibetan Buddhism, the main attraction here is a 75 feet large seated statue of Maitreya Buddha gilded in gold. There are also various paintings of guardian divinities, murals and thangkas that adorn the walls of assembly halls."
Leh Ladakh,18. Alchi,3.5,38 km  from city center,"Located in the Alchi Village of Ladakh, Alchi Monastery is a complex of Buddist temples of which Alchi Monastery is the oldest and most famous. Cemented on a flat ground unlike other monasteries in Ladakh, the traditional architecture of the monastery is a monastic complex which has 3 separate temples, known as Dukhang, Sumstek and the Temple of Manjushri."
Leh Ladakh,19. Spituk Monastery,4.2,6 km  from city center,"Spituk Monastery also called Spituk Gompa, is a Buddhist monastery located about 8 kms from Leh. One of the most dazzling monasteries in India, it houses 100 monks and a giant statue of Kali. It is famous for its collection of Buddhist objects of antique arms, icon, ancient masks and numerous Thangka paintings."
Leh Ladakh,"20. Diskit monastery, Lachung temple and Hundur monastery.",3.2,44 km  from city center,"Also known as Deskit/ Diskit Gompa, this is the oldest and largest monastery in Nubra valley, belonging to Gelugpa (yellow hat) sect of Tibetan Buddhism."
Leh Ladakh,"21. Bactarian camel safari, Nubra Valley",3.3,71 km  from city center,Nubra Valley is famous for the Bactrian Camel Safari. These camels are not even the usual ones that you must have seen in Rajasthan or in pictures. These camels having two humps were the major mode of transport to travel to silk route. These are now used for the safari in the region is hugely popular among the tourists.
Leh Ladakh,22. Leh Palace,4.3,2 km  from city center,The Leh Palace is a 17th-century former royal palace that is converted into a museum. The highlight is the sweeping view of Leh and the surrounding Zanskar mountain from the rooftop.
Leh Ladakh,23. Tso Kar lake,3.5,101 km  from city center,Tso Kar is a fluctuating salt lake located in the Rupshu Plateau of scenic Ladakh Valley. It is popularly known as the White Lake owing to the white salt deposits it leaves on the shores. Tso Kar Lake is the most peaceful and calm of the three high-altitude lakes (Pangong Lake and Tso Moriri) and also the smallest of the three. It is popular for bird-watching.
Leh Ladakh,"24. Hemis High Altitude Wildlife Sanctuary, Hemis",3.3,46 km  from city center,"At an altitude ranging from 3,300 m to 6,000 m above sea level, this sanctuary is known to be the highest in the world as well as the largest park of South Asia. It is also a habitat to the rare Snow Leopards."
Leh Ladakh,25. Chadar Trek,4.0,37 km  from city center,"The Chadar Trek or The Frozen River Expedition is one of the most unique and challenging treks in India. The 6-day chadar trek across the frozen Zanskar River in Ladakh takes place during the latter part of January till the end of February or sometimes even in the first week of March, depending on the weather."
Leh Ladakh,"30. Phuktal Monastery, Zanskar",4.2,105 km  from city center,"The Phugtal (Phuktal) Monastery is a Buddhist monastery situated in the south-east part of Zanskar region in Ladakh. Situated at the mouth of natural cave on a cliff, it is one of the most isolated monasteries in the region, built around 2500 years ago. The Phugtal Monastery looks like a honeycomb from a distance. It is popular amongst trekking enthusiasts."
Leh Ladakh,31. Lamayuru Town,3.5,76 km  from city center,"Lamayuru is a tiny village that's popularly known as the Moonland of Ladakh. It is immensely popular for housing the Lamayuru Monastery, the oldest and largest monasteries in Ladakh. It is an ideal stopover between the Kargil-Leh route."
Leh Ladakh,34. Chemrey Monastery,3.2,29 km  from city center,Chemrey Monastery is a 400-year-old yet unexplored Buddhist monastery located approximately 40 kilometres (25 mi) east of Leh in northern India. It is known for housing a staggering statue of Padmasambhava (almost a storey-high)and a collection of ancient scriptures with the text emboldened in gold letters with the titles in silver.
Leh Ladakh,35. Namgyal Tsemo Gompa,3.5,2 km  from city center,"Traveling to the Namgyal Tsemo Gompa makes you encounter the steep mountains and submerges you in its serene and spiritual folds. The monastery has long lured travelers seeking Buddhist experience but surprises them with something unexpected- the moon like, quiet and mystic expanse of Ladakh's landscape."
Leh Ladakh,36. Ladakh Trekking,3.6,622 km  from city center,"Know for its majestic and moon like terrains, Leh is attracted by many natural lovers and adventurous tourist. Some popular trekking routes include Spiti to Ladakh, Markha Valley trekking, Ladakh Zanskar trekking and the Nubra Valley trekking."
Leh Ladakh,37. Sankar Gompa,3.2,2 km  from city center,"Sankar Gompa is a beautiful Buddhist monastery located 6 km from Leh. A subsidiary of Spituk Monastery, it serves as the residence of the Abbot of Spituk, the senior incarnate lama of Ladakh, making it an important religious site. The main attraction is the statue of Avalokitesvara with 1000 arms and heads."
Leh Ladakh,40. City Shopping,3.6,"2,037 km  from city center","For all those who like to fill their bags with souvenirs and local produce, the markets in Ladakh offers beautiful Tibetan jewellery, motifs, decorated carpets and woolen clothes."
Leh Ladakh,41. Dah Hanu,3.5,102 km  from city center,The villages of Dah and Hanu are amongst the only few villages that are home to the Drogpa tribe. These villages are a must visit for those who are interested in cultural diversity. The Drogpa tribes are known for their distinct ornaments and head gears.
Leh Ladakh,43. Changtang Wildlife Sanctuary,3.5,111 km  from city center,"The Changthang Wildlife Sanctuary is located at an altitude of about 4000-9000 feet in the Ladakhi Changthang Plateau. The vast range of exotic flora and fauna attribute the sanctuary to be the second-largest nature reserve. It houses the three popular high altitude lakes - Tso Moriri, Pangong Lake and Tso Kar."
Leh Ladakh,44. Nyoma,3.5,145 km  from city center,Nyoma is a quaint village located 150 km from Leh on the banks of the Indus River. The main attraction of this unexplored village is a Buddhist monastery and the long walks in the peaceful lanes. Nyoma is best visited as a stopover when travelling to Chumathang from Leh. An inner line permit is required to visit Nyoma and its monastery.
Leh Ladakh,45. Mountain Biking,3.3,24 km  from city center,"Often termed the paradise of mountain bikers, Leh has thousands of tourists coming in every year to experience the thrill of driving on its steep slopes and adrenaline gushing paths."
Leh Ladakh,"46. Panamik village, Nubra Valley",3.2,71 km  from city center,"Located at a distance of about 140 Km from Leh, Panamik Village is the northernmost part of India. It lies on the bank of Nubra river and is well known for its hot water spring, Pashmina goats and the bactarian camels."
Leh Ladakh,"47. Yarab Tso, Sumur",3.2,1 km  from city center,"Popular as the hidden lake, Yarab Tso is located in the Nubra Valley region. It is an uninhabited lake with crystal clear water. Being located in a remote location, the only way to reach it is through an uphill hike."
Leh Ladakh,"48. MoonLand, Lamayuru",3.2,76 km  from city center,"A peculiar landscape near Lamayuru on Leh-Kargil Road is the MoonLand. It is called so fondly, because the landscapes here are said to be like that of the moon."
Leh Ladakh,49. Darcha to Padum Trek,3.5,100 km  from city center,"Located on river Bhaga, Darcha is a small Lahaul region in the Himachal district of Spiti. Whereas Padum is among the two primary capital cities of the Zanskar society. There are plenty of camping sites en route, spread across a variety of nomadic sites travellers would pass by."
Leh Ladakh,"50. Maitreya Buddha, Nubra Valley",3.3,43 km  from city center,Near the Diskit monastery in Nubra Valley stands a 32 meter tall statue of Maitreya Buddha facing towards the Shyok river. This statue is built with 8 Kg gold which was donated by the head of Gompa and was sanctified by the Dalai Lama.
Leh Ladakh,52. Handicrafts Industrial Cooperative Shop,3.2,"2,037 km  from city center",This place is good to buy souvenirs for friends and family. Wooden choktse tables carved with images of mythical beasts are available from the Handicrafts Industrial Cooperative Shop .
Coorg,1. Abbey Falls,4.6,4 km  from city center,"Abbey Falls, also known as Abbi Falls, is located around 10 kilometres away from the town of Madikeri and is one of the most popular tourist attractions in and around Coorg. The water cascade coming down from the cliff from a height of 70 feet provides a spectacular scene to behold."
Coorg,2. Raja's Seat,3.7,1 km  from city center,"Raja's Seat is a garden built on an elevated ground overseeing the valleys that lie to the west, making it a popular viewpoint to watch sunrise and sunset. Dotted with flowering plants and skillfully designed artificial fountains, the garden was a favourite venue to rejuvenate for the Kings of Kodagu, and they loved watching the sunsets sitting here as they spent some memorable time with their Queens.  The garden here is a preferred picnic spot for the locals."
Coorg,4. Golden Temple (Namdroling Monastery),4.5,0 km  from city center,"Namdroling Monastery, situated at a distance of 34 km from the Coorg, is the largest teaching centre of the school of Tibetan Buddhism known as Nyingmapa. Popularly known as the 'Golden Temple', the Namdroling Monastery holds some excellent examples of Tibetan architecture and artwork, as seen with the elaborately decorated temple tower and ornate outer walls, intricately adorned with beautiful murals."
Coorg,5. Trek & Camp at Tadiandamol Peak,3.3,21 km  from city center,"Tadiandamol is the highest mountain peak in Coorg, at an elevation of 1748m. Most tourists interested in trekking are drawn to this place as the journey is difficult, but the view from the top, unparalleled."
Coorg,6. Take a Dip under the Iruppu Falls,3.9,58 km  from city center,"Iruppu Falls is a  fresh water cascade located in the Brahmagiri Mountain Range, in the Kodagu district of Karnataka. These are also known as the Lakshmana Tirtha Falls, a name derived from the name of the tributary of Cauvery which starts from these falls. A major tourist attraction, it attracts a large number of tourists because of their mesmerizing natural beauty."
Coorg,7. Talacauvery,4.3,30 km  from city center,"Talakaveri is the source of the river Kaveri, located on the Brahmagiri hill near Bhagamandala.  Kodavas erected a tank which is now considered as its origin. It is believed that the river originates as a spring feeding a tank or a Kundike and then flows underground to re-emerge as Kaveri some distance away. The place has a temple dedicated to the Goddess Kaveriamma is located next to the tank and bathing in it on special occasions is considered holy."
Coorg,8. Take a Walk in Madikeri Fort,3.4,0 km  from city center,"Built in the 17th century by Muddu Raja using mud, the structure was rebuilt by Tipu Sultan in granite."
Coorg,"9. White River rafting in Barapole River, Coorg",3.8,49 km  from city center,"Barapole River is a famous white river rafting destination in Coorg. The white frothy river with speedy waters and rapids, flowing through beautiful landscapes, makes for an ideal river rafting experience. White water rafting is organized in Upper Barapole in Kithu-Kakkatu River which is a strong catchment area for the monsoons, thus providing some of the most challenging stretches of rapids. The Barapole River surges through dense forests and offers rafting participants a breathtaking view of the Brahmagiri Wildlife Sanctuary."
Coorg,10. Dubare Elephant Camp,3.0,19 km  from city center,"Once a training site for elephants of the famous Dasara procession in Mysore, the Dubare Elephant camp offers a unique adventure to visitors by allowing them the experience of living in coexistence with the trained elephants on-site."
Coorg,11. Omkareshwara Temple,3.3,1 km  from city center,"Depicting both Islamic and Gothic architecture, Omkareshwara temple was built in 1820 by Lingarajendra as a dedication to Lord Shiva."
Coorg,12. Honnamana Kere Lake,3.3,27 km  from city center,"Known to be the biggest lake in Coorg, Honnamana Kere Lake has spiritual as well as historical significance. The lake is surrounded by hills, coffee plantations and man-made caves. Named after Goddess Honnamana, adjacent to this lake is a temple dedicated to the goddess."
Coorg,13. Brahmagiri Wildlife Sanctuary,4.2,60 km  from city center,"The Brahmagiri Wildlife Sanctuary covers 181 square km and has got its name from the Brahmagiri Park, which is the highest peak with a height of 1608 m. The primary vegetation of the sanctuary includes evergreen and semi-evergreen forests, shoal forest patches in grasslands and bamboos. The sanctuary was established in the year 1974 and is surrounded by plantations of coffee and cardamom."
Coorg,14. Gaddige Raja's Tomb,3.3,1 km  from city center,"Built in the Indo-Saracenic style of architecture, this beautiful structure of Gaddige Raja's tomb is the mortal remains of the Kodavad Royalty. These tombs date back to 1820."
Coorg,15. Trekking,3.3,61 km  from city center,"You could go for a professionally arranged trek or if you just want to wander in the greens on your own, that too would be an equally enjoyable experience."
Coorg,16. Take a Safari through Nagarhole National Park,3.4,63 km  from city center,"With its diversity of flora and fauna, the Nagarhole National Park is one of the best known wildlife reserves in India. It houses not just multiple species of plants and shrubbery but also mammals, reptiles, crawlers and rare birds."
Coorg,17. Engage in the Adventures around Somwarpet,3.8,22 km  from city center,"Somwarpet, a town in the north east of the Coorg district, has several tourist attractions, the main being Beelur Golf Club along with the Mallalli Falls and the Pushpagiri Wildlife Sanctuary."
Coorg,18. Honey Valley - Nilakandi Falls,3.5,25 km  from city center,The Nilakandi Falls are located the midst of the dense tropical forests of Coorg. It is a picturesque and serene waterfall that lends trekkers a wonderful waterfall experience. Honey Valley is a private resort in which this beautiful waterfall is located.
Coorg,19. Ayurvedic treatments,3.3,46 km  from city center,You get a whole range of rejuvenating Ayurvedic massage and spa packages in Coorg. Ayurjeevan is one of the most famous Ayurvedic therapy center.
Coorg,20. Pushpagiri Wildlife Sanctuary,3.3,30 km  from city center,Pushpagiri is one of the 21 wildlife sanctuaries in Karnataka and home to many rare and endangered species of birds. The Kumara Parvat peak lies here. This National Park is also a proposed World Heritage site.
Coorg,21. Bhagamandala,3.8,22 km  from city center,"Bhagamandala is a pilgrimage site situated in the scenic foothills of Talacauvery, at a distance of only 39 kms from Madikeri. A bath in the holy waters of the Bhagamandala is not only sacred but also a very spiritually uplifting and cleansing experience."
Coorg,22. Shopping in Coorg,3.0,0 km  from city center,"Coorg is well known for its traditional Kodagu jewels and the made-in-Coorg honey. You can also buy Coorg coffee, straight from the coffee plantations."
Coorg,23. Brahmagiri Trek,3.5,28 km  from city center,"Taking individuals deep inside the Brahmagiri Wildlife Sanctuary, the Brahmagiri trek is a delight with its myriad offerings. The route traverses lush forests, green grasslands and countless small streams and rivers."
Coorg,24. Mallalli Falls,3.9,29 km  from city center,Mallalli Falls is a stunning milky white waterfall that lies in the northern region of the Kodagu district in Karnataka. The best way to reach the location of the Mallalli Falls is by trekking. It's a pleasant route and has wide concrete steps that lead to the waterfall. The Government has taken efforts to make the waterfalls easily accessible and convenient for visitors.  The falls originate from River Kumaradhara and takes a deep plunge of over 1000 metres in two tiers.  It's a pleasant route and has wide concrete steps that lead to the waterfall.
Coorg,25. Kutta,3.4,61 km  from city center,"Kutta is a small town in Karnataka that connects the several tourist attractions surrounding it. Replete with misty mountains, undulating rivers and cascading waterfalls, Kutta is mainly known for serving as a gateway to the Nagarhole National Park with a few options of a home stay, especially for tourists coming from the Kerala side."
Coorg,26. Angling (Fishing) in Coorg,3.3,12 km  from city center,"River Cauvery has lots of fishing camps located on the banks. Valnur, a village near Coorg, is famous for its fishing camps."
Coorg,27. Kopatty Hills,3.5,16 km  from city center,"Kopatty Hills is one of the lesser-known trekking destinations in India.  It is the myriad landscapes that such a short trail offers and lends the trek its appeal. Located in Coorg district it is a haven for those seeking an off-beat experience. It is a relatively simple route that traverses vast expanses of coffee plantations, rolling grasslands, peaceful streams and dense forests."
Coorg,28. Rameshwara temple,3.3,221 km  from city center,"Located on the banks of the Lakshman Tirtha River, Rameshwara temple is dedicated to Lord Shiva. It is famous for having the power to cleanse the sins of those devotees who visit here."
Coorg,29. Chettali,3.3,12 km  from city center,"Located on the Madikeri-Siddapur Road, Chettali is a small village blessed with lush greenery and misty hills surrounding it. The Cherala bhagavathy temple here also attracts tourists and devotees."
Coorg,30. Nalakunad Palace,3.3,21 km  from city center,It was the hunting lodge of Kodagu king dating back to 18th century. It is situated at the bottom of Coorg's highest peak Tadiyendamol.
Coorg,31. Bird Watching,3.3,64 km  from city center,"Coffee and spice plantations and lush greens are home to a variety of exotic flora and fauna. The vegetation is ideal for native, rare, endangered - all sorts of birds."
Andaman,1. Cellular Jail,4.5,12 km  from city center,"The Cellular Jail, also known as 'Kala Pani' is an old colonial prison situated in Port Blair, the capital of Andaman and Nicobar islands. Constructed by the Britishers during their colonial rule in India, the jail was used particularly to exile Indian political prisoners. It was used to house many notable freedom fighters such as Batukeshwar Dutt, Yogendra Shukla and Vinayak Damodar Savarkar."
Andaman,2. Elephant Beach,4.8,43 km  from city center,"With its brilliant coral reefs and alluring cyan waters, the Elephant beach is one of the locations that add to the beach paradise reputation of the Andaman and Nicobar Islands. These waters are a prime destination for tourists wishing to engage in water sports like snorkelling, swimming, banana boat rides, speed boats and diving. There are two ways to reach Elephant Beach: Take a ferry from Havelock Jetty to Elephant Beach (1000 INR per person) or trek for half an hour with a guide (INR 500). The trek starts at a distance of 2km from Radhanagar Beach."
Andaman,3. Neil Island,4.4,44 km  from city center,"Neil Island is a part of the South Andaman Administrative District and belongs to Ritchie’s Archipelago in the Bay of Bengal. A part of the massive ocean separates it from Ross Island and Havelock Island, Tourists visiting Havelock often make a day-long trip to Neil Island. Perhaps the most endearing feature of this island is its three sandy beaches, namely Bharatpur Beach, Sitapur Beach and Lakshmanpur Beach."
Andaman,4. Radhanagar Beach,4.6,42 km  from city center,"Awarded with the title of 'Asia's Best Beach' by the TIMES magazine in 2004, Radhanagar Beach in Havelock Island with its turquoise blue waters and powdery white sands lives up to the moniker. Its vast shores of endless white grains stretch across 2 kilometres, making it a prime attraction of the Andaman and Nicobar Islands."
Andaman,5. Baratang Island,4.7,54 km  from city center,"Baratang Island, also known as Ranchiwalas Island, is a beautiful little island in the North and Middle Andaman Administrative district and is situated about 100 kilometres away from Port Blair by road. The island is well-known for its mangroves, mud volcanoes (only ones in India) and limestone caves. However, you may need to take permission from the Forest Department at Baratang to explore these caves."
Andaman,7. Scuba Diving In Andaman,4.4,49 km  from city center,"Andaman and Nicobar Islands is a popular spot for scuba diving among tourists. Most popular island among all the islands for the dives however, is Havelock.



It is an ideal diving destination for everyone, right from a novice to an experienced diver. For non-certified amateur divers, charges start from about INR 3,500 for a 30 minute dive"
